"lhs","op","rhs","count.group","count.ind","count.subgroup1"
"ENMO_log","~","ENMO_loglag",30,0,0
"MOE","~","MOElag",30,0,0
"PIJN","~","PIJNlag",30,0,0
"STRESS","~","STRESSlag",30,0,0
"MOE","~","PIJN",0,10,7
"PIJN","~","MOE",0,5,0
"PIJN","~","STRESS",0,5,0
"ENMO_log","~","PIJN",0,4,0
"STRESS","~","PIJN",0,4,0
"MOE","~","STRESSlag",0,4,0
"MOE","~","ENMO_loglag",0,3,0
"STRESS","~","MOE",0,3,0
"PIJN","~","MOElag",0,3,0
"STRESS","~","MOElag",0,3,0
"MOE","~","STRESS",0,3,0
"PIJN","~","STRESSlag",0,3,0
"STRESS","~","ENMO_log",0,2,0
"STRESS","~","ENMO_loglag",0,2,0
"ENMO_log","~","MOElag",0,2,0
"ENMO_log","~","PIJNlag",0,2,0
"MOE","~","PIJNlag",0,2,0
"ENMO_log","~","STRESS",0,2,0
"PIJN","~","ENMO_log",0,1,0
"PIJN","~","ENMO_loglag",0,1,0
"ENMO_log","~","MOE",0,1,0
"ENMO_log","~","STRESSlag",0,1,0
