"from","to","weight","SE","P","ran_SD"
"PIJN","PIJN",0.364,0.053,0,0.186
"PIJN","MOE",0.066,0.049,0.183,0.167
"PIJN","STRESS",0.034,0.054,0.527,0.207
"PIJN","ENMO_log",-0.004,0.05,0.936,0
"MOE","PIJN",0.013,0.044,0.769,0.111
"MOE","MOE",0.285,0.042,0,0.098
"MOE","STRESS",-0.073,0.04,0.066,0.072
"MOE","ENMO_log",-0.059,0.049,0.235,0
"STRESS","PIJN",0.081,0.036,0.027,0.064
"STRESS","MOE",0.052,0.032,0.105,0
"STRESS","STRESS",0.333,0.046,0,0.161
"STRESS","ENMO_log",0.065,0.049,0.183,0.097
"ENMO_log","PIJN",-0.057,0.053,0.281,0.24
"ENMO_log","MOE",-0.131,0.054,0.015,0.249
"ENMO_log","STRESS",0.029,0.03,0.332,0
"ENMO_log","ENMO_log",0.159,0.055,0.004,0.2
