"lhs","op","rhs","count.group","count.ind","count.subgroup1","path"
"ENMO_log","~","ENMO_loglag",30,0,0,"ENMO_log ~ ENMO_loglag"
"MOE","~","MOElag",30,0,0,"MOE ~ MOElag"
"PIJN","~","PIJNlag",30,0,0,"PIJN ~ PIJNlag"
"STRESS","~","STRESSlag",30,0,0,"STRESS ~ STRESSlag"
"MOE","~","PIJN",0,10,7,"MOE ~ PIJN"
"PIJN","~","MOE",0,5,0,"PIJN ~ MOE"
"PIJN","~","STRESS",0,5,0,"PIJN ~ STRESS"
"ENMO_log","~","PIJN",0,4,0,"ENMO_log ~ PIJN"
"STRESS","~","PIJN",0,4,0,"STRESS ~ PIJN"
"MOE","~","STRESSlag",0,4,0,"MOE ~ STRESSlag"
"MOE","~","ENMO_loglag",0,3,0,"MOE ~ ENMO_loglag"
"STRESS","~","MOE",0,3,0,"STRESS ~ MOE"
"PIJN","~","MOElag",0,3,0,"PIJN ~ MOElag"
"STRESS","~","MOElag",0,3,0,"STRESS ~ MOElag"
"MOE","~","STRESS",0,3,0,"MOE ~ STRESS"
"PIJN","~","STRESSlag",0,3,0,"PIJN ~ STRESSlag"
"STRESS","~","ENMO_log",0,2,0,"STRESS ~ ENMO_log"
"STRESS","~","ENMO_loglag",0,2,0,"STRESS ~ ENMO_loglag"
"ENMO_log","~","MOElag",0,2,0,"ENMO_log ~ MOElag"
"ENMO_log","~","PIJNlag",0,2,0,"ENMO_log ~ PIJNlag"
"MOE","~","PIJNlag",0,2,0,"MOE ~ PIJNlag"
"ENMO_log","~","STRESS",0,2,0,"ENMO_log ~ STRESS"
"PIJN","~","ENMO_log",0,1,0,"PIJN ~ ENMO_log"
"PIJN","~","ENMO_loglag",0,1,0,"PIJN ~ ENMO_loglag"
"ENMO_log","~","MOE",0,1,0,"ENMO_log ~ MOE"
"ENMO_log","~","STRESSlag",0,1,0,"ENMO_log ~ STRESSlag"
