"from","to","weight_core4","weight_ext6","abs_diff"
"ENMO_log","ENMO_log",0.159,0.146,0.013
"ENMO_log","MOE",-0.131,-0.129,0.002
"ENMO_log","PIJN",-0.057,-0.061,0.004
"ENMO_log","STRESS",0.029,0.036,0.007
"MOE","ENMO_log",-0.059,-0.05,0.009
"MOE","MOE",0.285,0.284,0.001
"MOE","PIJN",0.013,0.005,0.008
"MOE","STRESS",-0.073,-0.073,0
"PIJN","ENMO_log",-0.004,0.011,0.015
"PIJN","MOE",0.066,0.056,0.01
"PIJN","PIJN",0.364,0.36,0.004
"PIJN","STRESS",0.034,0.03,0.004
"STRESS","ENMO_log",0.065,0.066,0.001
"STRESS","MOE",0.052,0.048,0.004
"STRESS","PIJN",0.081,0.074,0.007
"STRESS","STRESS",0.333,0.333,0
