"from","to","weight_core4","weight_extended","abs_diff"
"ENMO_log","ENMO_log",0.159,0.144,0.015
"ENMO_log","MOE",-0.131,-0.129,0.002
"ENMO_log","PIJN",-0.057,-0.061,0.004
"ENMO_log","STRESS",0.029,0.035,0.006
"MOE","ENMO_log",-0.059,-0.035,0.024
"MOE","MOE",0.285,0.285,0
"MOE","PIJN",0.013,0.009,0.004
"MOE","STRESS",-0.073,-0.068,0.005
"PIJN","ENMO_log",-0.004,0.019,0.023
"PIJN","MOE",0.066,0.056,0.01
"PIJN","PIJN",0.364,0.362,0.002
"PIJN","STRESS",0.034,0.03,0.004
"STRESS","ENMO_log",0.065,0.066,0.001
"STRESS","MOE",0.052,0.048,0.004
"STRESS","PIJN",0.081,0.074,0.007
"STRESS","STRESS",0.333,0.332,0.001
