"from","to","weight","SE","P","ran_SD","edge"
"PIJN","PIJN",0.262,0.055,0,0.192,"PIJN__to__PIJN"
"PIJN","MOE",0.094,0.05,0.062,0.165,"PIJN__to__MOE"
"PIJN","STRESS",0.049,0.058,0.394,0.222,"PIJN__to__STRESS"
"PIJN","ENMO_log",-0.012,0.041,0.773,0,"PIJN__to__ENMO_log"
"MOE","PIJN",0.052,0.047,0.268,0.129,"MOE__to__PIJN"
"MOE","MOE",0.2,0.04,0,0.071,"MOE__to__MOE"
"MOE","STRESS",-0.083,0.041,0.041,0.064,"MOE__to__STRESS"
"MOE","ENMO_log",-0.044,0.042,0.295,0.069,"MOE__to__ENMO_log"
"STRESS","PIJN",0.083,0.037,0.024,0.07,"STRESS__to__PIJN"
"STRESS","MOE",0.065,0.033,0.048,0.028,"STRESS__to__MOE"
"STRESS","STRESS",0.279,0.05,0,0.191,"STRESS__to__STRESS"
"STRESS","ENMO_log",0.043,0.039,0.271,0.083,"STRESS__to__ENMO_log"
"ENMO_log","PIJN",-0.088,0.07,0.209,0.319,"ENMO_log__to__PIJN"
"ENMO_log","MOE",-0.178,0.076,0.018,0.366,"ENMO_log__to__MOE"
"ENMO_log","STRESS",0.035,0.039,0.367,0,"ENMO_log__to__STRESS"
"ENMO_log","ENMO_log",0.145,0.056,0.009,0.204,"ENMO_log__to__ENMO_log"
