"from","to","weight","SE","P","ran_SD","edge"
"PIJN","PIJN",0.366,0.053,0,0.185,"PIJN__to__PIJN"
"PIJN","MOE",0.062,0.049,0.208,0.162,"PIJN__to__MOE"
"PIJN","STRESS",0.034,0.054,0.529,0.207,"PIJN__to__STRESS"
"PIJN","ENMO_log",0.005,0.049,0.921,0,"PIJN__to__ENMO_log"
"MOE","PIJN",0.011,0.044,0.805,0.11,"MOE__to__PIJN"
"MOE","MOE",0.284,0.042,0,0.096,"MOE__to__MOE"
"MOE","STRESS",-0.074,0.04,0.063,0.072,"MOE__to__STRESS"
"MOE","ENMO_log",-0.062,0.049,0.199,0,"MOE__to__ENMO_log"
"STRESS","PIJN",0.079,0.036,0.028,0.057,"STRESS__to__PIJN"
"STRESS","MOE",0.053,0.033,0.11,0.033,"STRESS__to__MOE"
"STRESS","STRESS",0.334,0.046,0,0.162,"STRESS__to__STRESS"
"STRESS","ENMO_log",0.054,0.048,0.259,0.097,"STRESS__to__ENMO_log"
"ENMO_log","PIJN",-0.056,0.048,0.242,0.213,"ENMO_log__to__PIJN"
"ENMO_log","MOE",-0.122,0.046,0.008,0.206,"ENMO_log__to__MOE"
"ENMO_log","STRESS",0.022,0.027,0.415,0,"ENMO_log__to__STRESS"
"ENMO_log","ENMO_log",0.152,0.052,0.003,0.198,"ENMO_log__to__ENMO_log"
