"dropped","edge","from","to","weight","P"
"P01","PIJN__to__PIJN","PIJN","PIJN",0.361,0
"P01","PIJN__to__MOE","PIJN","MOE",0.06,0.242
"P01","PIJN__to__STRESS","PIJN","STRESS",0.028,0.612
"P01","PIJN__to__ENMO_log","PIJN","ENMO_log",0.01,0.835
"P01","MOE__to__PIJN","MOE","PIJN",0.023,0.611
"P01","MOE__to__MOE","MOE","MOE",0.304,0
"P01","MOE__to__STRESS","MOE","STRESS",-0.071,0.084
"P01","MOE__to__ENMO_log","MOE","ENMO_log",-0.076,0.125
"P01","STRESS__to__PIJN","STRESS","PIJN",0.069,0.054
"P01","STRESS__to__MOE","STRESS","MOE",0.048,0.14
"P01","STRESS__to__STRESS","STRESS","STRESS",0.333,0
"P01","STRESS__to__ENMO_log","STRESS","ENMO_log",0.067,0.183
"P01","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.069,0.202
"P01","ENMO_log__to__MOE","ENMO_log","MOE",-0.138,0.013
"P01","ENMO_log__to__STRESS","ENMO_log","STRESS",0.027,0.385
"P01","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.199,0
"P02","PIJN__to__PIJN","PIJN","PIJN",0.371,0
"P02","PIJN__to__MOE","PIJN","MOE",0.073,0.143
"P02","PIJN__to__STRESS","PIJN","STRESS",0.047,0.399
"P02","PIJN__to__ENMO_log","PIJN","ENMO_log",-0.007,0.882
"P02","MOE__to__PIJN","MOE","PIJN",0.018,0.682
"P02","MOE__to__MOE","MOE","MOE",0.288,0
"P02","MOE__to__STRESS","MOE","STRESS",-0.075,0.068
"P02","MOE__to__ENMO_log","MOE","ENMO_log",-0.056,0.266
"P02","STRESS__to__PIJN","STRESS","PIJN",0.078,0.03
"P02","STRESS__to__MOE","STRESS","MOE",0.05,0.12
"P02","STRESS__to__STRESS","STRESS","STRESS",0.329,0
"P02","STRESS__to__ENMO_log","STRESS","ENMO_log",0.065,0.177
"P02","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.069,0.19
"P02","ENMO_log__to__MOE","ENMO_log","MOE",-0.143,0.007
"P02","ENMO_log__to__STRESS","ENMO_log","STRESS",0.027,0.378
"P02","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.164,0.003
"P03","PIJN__to__PIJN","PIJN","PIJN",0.378,0
"P03","PIJN__to__MOE","PIJN","MOE",0.075,0.144
"P03","PIJN__to__STRESS","PIJN","STRESS",0.036,0.53
"P03","PIJN__to__ENMO_log","PIJN","ENMO_log",0.014,0.793
"P03","MOE__to__PIJN","MOE","PIJN",-0.002,0.968
"P03","MOE__to__MOE","MOE","MOE",0.271,0
"P03","MOE__to__STRESS","MOE","STRESS",-0.082,0.051
